id,codigo,nombre,telefono,correo,direccion
1,0001,Nicole Salazar,0964171078,nicole.salazar94@gmail.com,"Av. Amazonas N98-16
2,0002,Camila Almeida,0913964460,camila.almeida20@gmail.com,"Av. Amazonas N80-7
3,0003,Diego Santillan,0983364798,diego.santillan39@gmail.com,"Av. Eloy Alfaro N65-40
4,0004,Nicole Salazar 2,0910852558,nicole.salazar.254@gmail.com,"Calle Rocafuerte N27-39
5,0005,Diego Santillan 2,0912598350,diego.santillan.271@gmail.com,"Calle Rocafuerte N50-79
6,0006,Maria Fernanda Ruiz,0992815653,maria.fernanda.ruiz39@gmail.com,"Calle Bolivar N83-97
7,0007,Isabel Cabrera,0949732523,isabel.cabrera49@gmail.com,"Av. Simon Bolivar N21-59
8,0008,Maria Fernanda Ruiz 2,0943415098,maria.fernanda.ruiz.261@gmail.com,"Av. 10 de Agosto N89-27
9,0009,Jonathan Simbaña,0967231376,jonathan.simbana33@gmail.com,"Av. Interoceanica N39-99
10,0010,Fernanda Narvaez,0942121989,fernanda.narvaez8@gmail.com,"Av. Amazonas N55-53
11,0011,Kevin Zambrano,0919590420,kevin.zambrano45@gmail.com,"Calle Sucre N46-18
12,0012,Luis Fernando Mejia,0986270752,luis.fernando.mejia94@gmail.com,"Av. Simon Bolivar N18-27
13,0013,Kevin Zambrano 2,0923218947,kevin.zambrano.246@gmail.com,"Av. Amazonas N58-8
14,0014,Alejandra Erazo,0946078247,alejandra.erazo62@gmail.com,"Calle Sucre N81-27
15,0015,Fernanda Narvaez 2,0980974157,fernanda.narvaez.214@gmail.com,"Av. Interoceanica N54-42
16,0016,David Moreano,0950340894,david.moreano97@gmail.com,"Av. Interoceanica N80-14
17,0017,Andre Rosero,0991063674,andre.rosero4@gmail.com,"Av. Panamericana N36-31
18,0018,Michelle Acosta,0922254112,michelle.acosta42@gmail.com,"Av. Interoceanica N17-8
19,0019,Cristian Vinueza,0999398703,cristian.vinueza10@gmail.com,"Av. Simon Bolivar N48-21
20,0020,Ana Lucia Flores,0944965639,ana.lucia.flores75@gmail.com,"Av. Interoceanica N79-41
21,0021,Luis Fernando Mejia 2,0959808805,luis.fernando.mejia.26@gmail.com,"Av. Simon Bolivar N60-9
22,0022,Carolina Hidalgo,0929342353,carolina.hidalgo48@gmail.com,"Calle Bolivar N77-6
23,0023,Jorge Guaman,0988836638,jorge.guaman81@gmail.com,"Av. Interoceanica N54-23
24,0024,Kevin Zambrano 3,0964440121,kevin.zambrano.372@gmail.com,"Av. 10 de Agosto N61-31
25,0025,Jorge Guaman 2,0911609013,jorge.guaman.219@gmail.com,"Calle Garcia Moreno N63-16
26,0026,Cristian Vinueza 2,0979999121,cristian.vinueza.295@gmail.com,"Av. Amazonas N55-41
27,0027,Carolina Hidalgo 2,0962287711,carolina.hidalgo.240@gmail.com,"Av. Eloy Alfaro N32-78
28,0028,Maria Fernanda Ruiz 3,0989401617,maria.fernanda.ruiz.344@gmail.com,"Calle Sucre N18-59
29,0029,Bryan Chicaiza,0923317043,bryan.chicaiza48@gmail.com,"Calle Rocafuerte N9-28
30,0030,Andre Rosero 2,0964008866,andre.rosero.23@gmail.com,"Av. Interoceanica N6-75
31,0031,David Moreano 2,0941636572,david.moreano.280@gmail.com,"Av. Panamericana N95-85
32,0032,Nicole Salazar 3,0916192106,nicole.salazar.355@gmail.com,"Av. Eloy Alfaro N38-38
33,0033,Valentina Paredes,0990202015,valentina.paredes33@gmail.com,"Calle Garcia Moreno N2-78
34,0034,Camila Almeida 2,0998840529,camila.almeida.26@gmail.com,"Calle Sucre N79-70
35,0035,Diego Santillan 3,0985532208,diego.santillan.396@gmail.com,"Calle Bolivar N28-29
36,0036,Domenica Vallejo,0920750033,domenica.vallejo46@gmail.com,"Calle Bolivar N25-98
37,0037,Pablo Andrade,0927529642,pablo.andrade3@gmail.com,"Av. Amazonas N88-58
38,0038,Diego Santillan 4,0998294851,diego.santillan.466@gmail.com,"Calle Bolivar N71-7
39,0039,Valentina Paredes 2,0941969933,valentina.paredes.281@gmail.com,"Av. Interoceanica N12-55
40,0040,Nicolas Cevallos,0922499532,nicolas.cevallos79@gmail.com,"Av. Interoceanica N85-52
41,0041,Ana Lucia Flores 2,0928952056,ana.lucia.flores.288@gmail.com,"Av. Interoceanica N63-61
42,0042,Pablo Andrade 2,0984709634,pablo.andrade.234@gmail.com,"Calle Rocafuerte N82-27
43,0043,Nicolas Cevallos 2,0930925110,nicolas.cevallos.26@gmail.com,"Av. Amazonas N38-9
44,0044,Sebastian Torres,0913037524,sebastian.torres70@gmail.com,"Calle Bolivar N85-93
45,0045,Maria Fernanda Ruiz 4,0943460703,maria.fernanda.ruiz.44@gmail.com,"Calle Bolivar N22-60
46,0046,Paula Benitez,0915760353,paula.benitez86@gmail.com,"Av. Simon Bolivar N2-36
